Gene_ID,Ex.Control_1,Ex.Control_2,Ex.Control_3,Ex.KO_1,Ex.KO_2,Ex.KO_3,In.Control_1,In.Control_2,In.Control_3,In.KO_1,In.KO_2,In.KO_3
ENSMUSG00000058022,0,0,0,73.62842,56.930172,92.8316,2,6,6,13,14,23
ENSMUSG00000042371,31.217403,44.67813,39.921898,1778.9233,755.25696,3380.9226,2560,2930,3596,3893,3588,3673
ENSMUSG00000050211,0,0,0,305.83582,136.97739,201.05986,2,0,2,124,52,70
ENSMUSG00000022357,2,3.841579,0.006622517,255.90526,197.43817,423.55078,6,6,4,12,22,35
ENSMUSG00000094500,6,6,10,70.48344,89,133.99998,10,22,2,9,4,2
ENSMUSG00000024526,11.999999,12,16,871.3288,398.2793,1095.7428,4,2,12,20,8,28
ENSMUSG00000028307,22,8,6,17745.01,8675.403,16712.58,2,6,2,363,154,195
ENSMUSG00000079022,4.2540703,9.289183,13.496688,85.58377,54.941105,171.9999,50,73,67,46,43,48
ENSMUSG00000030170,102.85488,104.70061,101.35099,1118.0815,741.94495,1459.328,1981,2290,2581,1988,2205,2183
ENSMUSG00000048699,12,19.613335,26,1813.5741,1323.8604,2505.0044,0,5,0,15,10,20
ENSMUSG00000041073,74.25311,41.091686,86.933464,587.5254,491.1062,1154.2731,14,26,20,28,14,17
ENSMUSG00000061356,15.999999,16.632317,10,251.09483,117.527016,296.63318,6,26,12,24,14,26
ENSMUSG00000030889,1.337042,5.019868,8.253333,134.65651,79.210304,296.0736,8,12,10,39,43,43
ENSMUSG00000039838,16.800339,4.86755,18.090885,51.688896,64,187.76822,9,28,25,16,8,28
ENSMUSG00000030680,510.93884,459.15408,512.3031,1190.0093,665.2877,1463.9637,34,4,26,1,12,6
ENSMUSG00000057346,31.996666,83,213.98425,623.9637,658.82446,2804.85,0,22,22,2,14,48
ENSMUSG00000035615,9.993378,14,14,114.80301,61.993008,120,2,14,10,11,0,14
ENSMUSG00000038217,31.741446,61.66398,78.657455,290.1288,244.48753,459.5161,688,1034,1525,765,888,807
ENSMUSG00000034353,101.99999,145.7171,106,2045.5808,1525.5726,3397.5933,10,38,10,48,41,58
ENSMUSG00000021852,5.3036203,9.903052,8,268.01288,194.22635,292.55917,48,46,58,258,209,206
ENSMUSG00000021999,146.34897,113.70356,116.22664,552.11804,402.06107,1300.5571,43,42,26,30,32,29
ENSMUSG00000031163,7.4172187,8,15.006622,48,55.535053,171.40231,2,10,14,6,8,16
ENSMUSG00000015093,35.829895,39.853683,33.32509,131.9959,84.99361,131.57326,71,85,59,30,46,22
ENSMUSG00000040966,6,0,5.546667,62.326904,47.149765,115.169365,52,26,44,113,88,133
ENSMUSG00000032482,180.99997,201.33322,179.07863,1156.3726,786.3111,1514.7245,360,838,816,617,536,496
ENSMUSG00000055301,23,36,22,110.09934,86,83.16628,9,16,6,1,4,10
ENSMUSG00000007034,35.999996,31.438015,42.06746,281.9276,174.49008,586.6287,6,24,11,9,6,36
ENSMUSG00000021416,34.73718,42.76202,47.011375,476.5841,295.1992,646.3018,11,16,34,24,31,39
ENSMUSG00000026989,621.621,281.36487,283.53613,1652.0784,2118.3452,2904.697,68,117,117,78,105,42
ENSMUSG00000036214,380.44113,201.315,208.96155,553.7779,425.66998,625.15533,42,50,28,21,14,0
ENSMUSG00000074218,8.71733,5.379956,15.620975,96.86653,87.95199,149.50832,14,8,13,17,22,20
ENSMUSG00000047842,449.57617,656.99304,1246.5629,456,621.99304,676,18,32,106,8,8,0
ENSMUSG00000024727,2,4.538376,6,328.96674,242.37723,309.09277,2,7,4,53,59,21
ENSMUSG00000097365,75.5,5.886582,22.629534,252.64099,267.94635,195.04773,1695,3106,3030,2346,2638,2118
ENSMUSG00000079580,6,15.056598,7.663158,105.20375,63.338394,142.76425,2,14,20,14,12,26
ENSMUSG00000037706,2674.7976,2702.1387,3745.112,7042.423,6504.7324,12629.694,980,1272,1348,483,698,358
ENSMUSG00000021263,533.9112,513.0586,538.06384,1977.1525,1498.9727,2157.5212,72,65,51,35,55,16
ENSMUSG00000020891,136.58939,174.84473,196.83911,934.1196,755.3446,1382.3175,18,4,6,4,13,12
ENSMUSG00000032530,4.97351,17.77659,14.535632,87.09081,49.34122,120.15613,212,359,262,360,271,248
ENSMUSG00000030641,26,50.06622,88.124374,113.00001,131.28198,290.46564,8,30,23,2,4,23
ENSMUSG00000025221,19.894041,23.777718,34.024513,400.4901,206.48607,408.78424,10,36,40,60,71,38
ENSMUSG00000051985,0,2,0,542.99817,189.86116,459.95337,2,0,0,113,40,49
ENSMUSG00000004951,199.99998,168.27446,514.36206,1353.0453,935.09,3473.437,10,10,8,6,2,22
ENSMUSG00000036242,18,24,74,219.44858,100,414.00006,8,10,12,11,8,12
ENSMUSG00000040694,16.874172,8.565122,15.614924,78.16428,57.254913,102.505165,40,30,44,32,33,43
ENSMUSG00000011589,25.748499,21.490103,38.12329,401.90982,210.7154,670.598,22,15,15,34,25,74
ENSMUSG00000022783,11.999999,21.999998,20.000002,220.9867,184.96579,325.87616,8,14,6,25,18,20
ENSMUSG00000035298,31.717134,26.46658,18.49564,124.16323,90.976776,226.29333,31,33,21,39,26,16
ENSMUSG00000024353,14.6423855,281.38983,74,644.246,159.82715,201.96753,15,17,10,13,5,3
ENSMUSG00000105504,43,233.1391,192.69664,435.4193,757.164,897.6254,20,49,41,23,36,24
ENSMUSG00000039533,2,6,10,342.0001,180.72179,528.9241,2,0,4,28,18,16
ENSMUSG00000002985,3195.9258,2963.9314,1470.746,10093.51,6606.445,3198.4294,81,73,83,38,30,38
ENSMUSG00000022076,2,6,2,208.99995,141.4371,207.71202,0,6,8,37,31,57
ENSMUSG00000028989,145.55757,284.9031,213.33098,1048.4084,1052.2332,1090.8499,12,46,34,13,35,27
ENSMUSG00000047361,32,15.054054,14.000002,228.90073,126.000015,190.00002,18,29,30,40,39,33
ENSMUSG00000019851,268.61905,291.57007,470.21823,517.1956,527.9814,949.2258,35,24,80,20,20,6
ENSMUSG00000045932,54.559998,214.88275,463.78604,1833.762,2549.1438,8260.145,0,8,14,18,21,25
