Gene_ID,MS_logFC
ENSMUSG00000000001,-0.447207819
ENSMUSG00000000215,-1.877979897
ENSMUSG00000000253,0.83881717
ENSMUSG00000000276,-0.435146377
ENSMUSG00000000278,0.356618741
ENSMUSG00000000295,1.189996748
ENSMUSG00000000303,-0.817373885
ENSMUSG00000000308,2.30794632
ENSMUSG00000000378,1.46101297
ENSMUSG00000000538,-1.182091241
ENSMUSG00000000738,-0.406816786
ENSMUSG00000000740,0.2480494
ENSMUSG00000000826,-0.886217591
ENSMUSG00000000902,0.335127891
ENSMUSG00000001025,5.220587117
ENSMUSG00000001119,3.154623957
ENSMUSG00000001127,0.352387484
ENSMUSG00000001143,0.853633398
ENSMUSG00000001173,0.449262627
ENSMUSG00000001229,-0.388357545
ENSMUSG00000001247,-0.975501507
ENSMUSG00000001248,0.744312587
ENSMUSG00000001285,0.941957015
ENSMUSG00000001380,0.641881156
ENSMUSG00000001416,0.477496163
ENSMUSG00000001472,0.950335365
ENSMUSG00000001507,0.244628939
ENSMUSG00000001525,0.217930453
ENSMUSG00000001552,0.988460394
ENSMUSG00000001663,0.681660097
ENSMUSG00000001707,0.449095988
ENSMUSG00000001755,0.271302915
ENSMUSG00000001774,0.717308579
ENSMUSG00000001794,0.460964089
ENSMUSG00000001999,0.606778613
ENSMUSG00000002010,-0.540154115
ENSMUSG00000002227,1.54430188
ENSMUSG00000002265,-0.451714484
ENSMUSG00000002279,1.070820815
ENSMUSG00000002319,0.307818283
ENSMUSG00000002326,0.379363065
ENSMUSG00000002365,0.466103676
ENSMUSG00000002395,0.427732976
ENSMUSG00000002455,0.393346612
ENSMUSG00000002477,0.143144089
ENSMUSG00000002496,-0.306939916
ENSMUSG00000002546,0.478830063
ENSMUSG00000002660,-0.322257115
ENSMUSG00000002731,1.231790079
ENSMUSG00000002741,-0.301051282
ENSMUSG00000002812,0.569265485
ENSMUSG00000002900,0.494509378
ENSMUSG00000002949,0.349166265
ENSMUSG00000002963,0.652015807
ENSMUSG00000002981,0.973545988
ENSMUSG00000002997,-0.668025376
ENSMUSG00000003031,0.907281581
ENSMUSG00000003033,0.203650246
ENSMUSG00000003037,-0.245965575
ENSMUSG00000003135,-0.621031187
ENSMUSG00000003161,0.46324078
ENSMUSG00000003184,0.941126293
ENSMUSG00000003235,0.504583501
ENSMUSG00000003309,0.325913409
ENSMUSG00000003363,1.302680332
ENSMUSG00000003411,-0.958418442
ENSMUSG00000003500,0.244775377
ENSMUSG00000003528,-0.309250687
ENSMUSG00000003546,0.547828129
ENSMUSG00000003559,0.695634109
ENSMUSG00000003604,0.8663605
ENSMUSG00000003731,0.226082571
ENSMUSG00000003808,1.233084696
ENSMUSG00000003809,-0.321799085
ENSMUSG00000003814,-0.542258362
ENSMUSG00000003868,0.412293628
ENSMUSG00000003923,-0.730228391
ENSMUSG00000004032,1.024684501
ENSMUSG00000004056,-0.287968777
ENSMUSG00000004069,-0.284654369
ENSMUSG00000004207,-0.581487923
ENSMUSG00000004233,-0.602993058
ENSMUSG00000004266,1.43663337
ENSMUSG00000004267,0.328745987
ENSMUSG00000004455,0.155488213
ENSMUSG00000004626,0.288634829
ENSMUSG00000004846,0.603016439
ENSMUSG00000004849,0.647848281
ENSMUSG00000004897,-0.439671947
ENSMUSG00000004937,0.550525491
ENSMUSG00000004951,1.991546249
ENSMUSG00000004980,-0.522267132
ENSMUSG00000004996,1.091667014
ENSMUSG00000005034,-0.906825297
ENSMUSG00000005054,0.341000421
ENSMUSG00000005069,0.696972203
ENSMUSG00000005142,0.585895752
ENSMUSG00000005161,0.333995561
ENSMUSG00000005198,0.460981911
