Gene_ID,TR_logFC
ENSMUSG00000000058,1.341439351
ENSMUSG00000000120,0.824208857
ENSMUSG00000000154,3.012505607
ENSMUSG00000000159,0.713099544
ENSMUSG00000000184,-0.926215566
ENSMUSG00000000215,-1.063912712
ENSMUSG00000000216,1.143802903
ENSMUSG00000000223,4.38705654
ENSMUSG00000000253,0.597460418
ENSMUSG00000000276,-0.704939024
ENSMUSG00000000296,0.864930191
ENSMUSG00000000308,1.645687567
ENSMUSG00000000317,-1.129395183
ENSMUSG00000000340,0.623986272
ENSMUSG00000000355,-0.494025353
ENSMUSG00000000365,1.711300406
ENSMUSG00000000374,-0.569102548
ENSMUSG00000000378,0.419925222
ENSMUSG00000000385,-0.513000434
ENSMUSG00000000409,0.997844599
ENSMUSG00000000486,1.971477729
ENSMUSG00000000544,0.923643703
ENSMUSG00000000552,1.663229891
ENSMUSG00000000560,-1.546940228
ENSMUSG00000000600,-0.491552382
ENSMUSG00000000605,-0.496792519
ENSMUSG00000000627,0.826467467
ENSMUSG00000000682,1.385393616
ENSMUSG00000000693,0.897078768
ENSMUSG00000000738,-0.39303559
ENSMUSG00000000740,-0.632918297
ENSMUSG00000000753,1.58103732
ENSMUSG00000000792,2.732050044
ENSMUSG00000000826,-0.562170323
ENSMUSG00000000876,0.883343137
ENSMUSG00000000901,2.738494597
ENSMUSG00000000915,-0.592127172
ENSMUSG00000000934,1.517304447
ENSMUSG00000000957,0.583179061
ENSMUSG00000001020,2.056529958
ENSMUSG00000001025,3.98167962
ENSMUSG00000001065,-0.620138525
ENSMUSG00000001098,0.515724698
ENSMUSG00000001105,-0.717507533
ENSMUSG00000001119,1.019733521
ENSMUSG00000001123,1.679590193
ENSMUSG00000001131,1.263973324
ENSMUSG00000001143,0.43292017
ENSMUSG00000001157,-0.515268567
ENSMUSG00000001166,1.094238501
ENSMUSG00000001227,0.650827161
ENSMUSG00000001249,1.984391829
ENSMUSG00000001270,-0.723321428
ENSMUSG00000001288,0.528776286
ENSMUSG00000001333,1.665376006
ENSMUSG00000001334,1.62538724
ENSMUSG00000001380,0.418920154
ENSMUSG00000001415,-0.443554737
ENSMUSG00000001416,0.46489464
ENSMUSG00000001435,0.681788233
ENSMUSG00000001436,0.670780067
ENSMUSG00000001506,1.055747272
ENSMUSG00000001507,0.457798508
ENSMUSG00000001542,0.694949032
ENSMUSG00000001552,0.877921484
ENSMUSG00000001622,1.378992121
ENSMUSG00000001700,0.722453138
ENSMUSG00000001729,-0.451852614
ENSMUSG00000001750,0.595756269
ENSMUSG00000001751,0.974620672
ENSMUSG00000001786,0.413272281
ENSMUSG00000001844,-0.537455813
ENSMUSG00000001910,-0.450413895
ENSMUSG00000001918,1.189432466
ENSMUSG00000001942,0.548654971
ENSMUSG00000001986,-0.619860938
ENSMUSG00000002006,-0.541824356
ENSMUSG00000002007,2.558696734
ENSMUSG00000002012,1.276562315
ENSMUSG00000002028,-0.630279656
ENSMUSG00000002064,0.805924944
ENSMUSG00000002068,1.00168382
ENSMUSG00000002103,0.465160614
ENSMUSG00000002147,0.857157926
ENSMUSG00000002227,1.493693104
ENSMUSG00000002233,0.669658984
ENSMUSG00000002249,1.237138799
ENSMUSG00000002250,-0.431759191
ENSMUSG00000002257,2.173211459
ENSMUSG00000002266,-0.551644048
ENSMUSG00000002279,0.973451404
ENSMUSG00000002307,0.79208545
ENSMUSG00000002308,0.60868899
ENSMUSG00000002324,0.720407434
ENSMUSG00000002325,1.087686905
ENSMUSG00000002332,0.742094834
ENSMUSG00000002396,-0.614580864
ENSMUSG00000002409,0.969666979
ENSMUSG00000002455,0.704807888
ENSMUSG00000002458,1.01267447
ENSMUSG00000002475,0.786997385
ENSMUSG00000002504,0.979435023
ENSMUSG00000002580,-0.517074808
ENSMUSG00000002602,0.554527137
ENSMUSG00000002603,0.623276672
ENSMUSG00000002688,0.479895858
ENSMUSG00000002699,1.696142201
ENSMUSG00000002733,-0.428371614
ENSMUSG00000002769,-1.202633937
ENSMUSG00000002845,-0.822954372
ENSMUSG00000002885,1.230237241
ENSMUSG00000002980,0.954803357
ENSMUSG00000002981,0.443932399
ENSMUSG00000002996,0.635544149
ENSMUSG00000002997,-0.57861251
ENSMUSG00000003134,0.419873746
ENSMUSG00000003166,-0.516115355
ENSMUSG00000003269,0.407926488
ENSMUSG00000003271,0.810934855
ENSMUSG00000003273,4.376523413
ENSMUSG00000003282,-0.84619107
ENSMUSG00000003345,-0.603741867
ENSMUSG00000003354,2.010666812
ENSMUSG00000003363,0.651455237
ENSMUSG00000003402,0.427753045
ENSMUSG00000003420,0.991364766
ENSMUSG00000003421,0.45468339
ENSMUSG00000003527,0.495738416
ENSMUSG00000003546,0.898336553
ENSMUSG00000003573,0.839461731
ENSMUSG00000003575,-0.450512618
ENSMUSG00000003585,1.256663994
ENSMUSG00000003617,1.754626304
ENSMUSG00000003623,0.536497505
ENSMUSG00000003644,0.919952095
ENSMUSG00000003662,0.665275266
ENSMUSG00000003762,-0.512363928
ENSMUSG00000003779,-0.984460397
ENSMUSG00000003849,1.629645591
ENSMUSG00000003863,0.791040806
ENSMUSG00000003929,-0.799768737
ENSMUSG00000003970,-0.566120517
ENSMUSG00000003992,-0.613291945
ENSMUSG00000004035,0.850773359
ENSMUSG00000004098,1.08082748
ENSMUSG00000004105,1.632267306
ENSMUSG00000004207,-0.592684525
ENSMUSG00000004266,1.161433585
ENSMUSG00000004270,0.547254556
ENSMUSG00000004317,0.656614734
ENSMUSG00000004347,-0.728230896
ENSMUSG00000004360,0.533017469
ENSMUSG00000004383,1.339887142
ENSMUSG00000004446,0.627938861
ENSMUSG00000004500,-0.618562633
ENSMUSG00000004561,-0.505557692
ENSMUSG00000004565,0.797290607
ENSMUSG00000004568,0.417219955
ENSMUSG00000004610,0.583460916
ENSMUSG00000004655,1.274200588
ENSMUSG00000004665,1.236689385
ENSMUSG00000004698,1.497769294
ENSMUSG00000004788,0.740723181
ENSMUSG00000004791,1.119680803
ENSMUSG00000004815,-0.494999939
ENSMUSG00000004846,0.730058004
ENSMUSG00000004880,-0.55816726
ENSMUSG00000004929,0.507311584
ENSMUSG00000004951,2.327508412
ENSMUSG00000004980,-0.56234103
ENSMUSG00000005045,-1.010609869
ENSMUSG00000005057,1.50716395
ENSMUSG00000005069,0.487387437
ENSMUSG00000005087,0.835592988
ENSMUSG00000005107,1.117071827
ENSMUSG00000005124,1.38728754
ENSMUSG00000005251,0.64305717
ENSMUSG00000005262,-0.44973049
ENSMUSG00000005268,-0.972157344
ENSMUSG00000005338,0.969126068
ENSMUSG00000005362,0.64274072
ENSMUSG00000005373,-0.889491313
ENSMUSG00000005374,-0.44126026
ENSMUSG00000005469,-0.415558775
ENSMUSG00000005514,0.652155563
ENSMUSG00000005533,-1.275451383
ENSMUSG00000005553,-1.278181745
ENSMUSG00000005640,-0.808001758
ENSMUSG00000005667,-0.884209815
ENSMUSG00000005681,2.478190389
ENSMUSG00000005682,-0.744195529
ENSMUSG00000005804,0.78865253
ENSMUSG00000005883,3.823984999
ENSMUSG00000005951,0.901529799
ENSMUSG00000005981,0.405302424
ENSMUSG00000005982,-0.507895315
ENSMUSG00000006205,1.720435939
ENSMUSG00000006262,-0.474080843
ENSMUSG00000006301,0.563052716
ENSMUSG00000006335,0.850692273
ENSMUSG00000006342,1.09399522
ENSMUSG00000006360,1.297421583
ENSMUSG00000006378,-0.97333667
ENSMUSG00000006390,0.602373516
ENSMUSG00000006411,2.273173549
ENSMUSG00000006423,-0.605124653
ENSMUSG00000006442,-0.584811984
ENSMUSG00000006457,1.529662064
ENSMUSG00000006471,-0.440663672
ENSMUSG00000006519,0.803906969
ENSMUSG00000006651,-0.629966844
ENSMUSG00000006724,-1.693191185
ENSMUSG00000006728,-0.613245524
ENSMUSG00000006731,1.21823958
ENSMUSG00000006732,-0.706454452
ENSMUSG00000006782,1.030695989
ENSMUSG00000006784,1.862446218
ENSMUSG00000006800,0.927910784
ENSMUSG00000006906,0.586878856
ENSMUSG00000007021,1.612529756
ENSMUSG00000007033,-0.900994219
ENSMUSG00000007034,2.821662325
ENSMUSG00000007035,-1.206733305
ENSMUSG00000007036,0.466180731
ENSMUSG00000007039,1.783384867
ENSMUSG00000007041,0.515829377
ENSMUSG00000007415,-0.46237832
ENSMUSG00000007594,-0.928690316
ENSMUSG00000007617,-0.78794474
ENSMUSG00000007783,0.972466189
ENSMUSG00000007836,-0.535860229
ENSMUSG00000007850,-0.61928486
ENSMUSG00000007892,-0.722248937
ENSMUSG00000008090,1.199817566
ENSMUSG00000008136,1.099383867
ENSMUSG00000008140,-0.621232506
ENSMUSG00000008153,1.616678564
ENSMUSG00000008167,0.862108045
ENSMUSG00000008193,2.472348866
ENSMUSG00000008206,1.052241342
ENSMUSG00000008318,-1.738128429
ENSMUSG00000008435,0.542766577
ENSMUSG00000008540,1.132777596
ENSMUSG00000008682,-0.494188124
ENSMUSG00000009075,-0.737688605
ENSMUSG00000009108,-0.945921466
ENSMUSG00000009210,1.009495468
ENSMUSG00000009246,-1.413223946
ENSMUSG00000009292,-0.532997223
ENSMUSG00000009293,-0.458558927
ENSMUSG00000009394,0.701208628
ENSMUSG00000009585,0.708202426
ENSMUSG00000009614,2.431425053
ENSMUSG00000009621,0.694272727
ENSMUSG00000009640,0.672012926
ENSMUSG00000009731,0.848606548
ENSMUSG00000009733,0.545801963
ENSMUSG00000009739,-0.546968957
ENSMUSG00000009741,-0.398851579
ENSMUSG00000009772,0.730279961
ENSMUSG00000009894,0.509740191
ENSMUSG00000009905,0.586316953
ENSMUSG00000010047,1.266720026
ENSMUSG00000010054,-0.530469218
ENSMUSG00000010057,0.590107548
ENSMUSG00000010086,0.956231078
ENSMUSG00000010154,0.756973861
ENSMUSG00000010205,-0.406610234
ENSMUSG00000010277,-0.511149334
ENSMUSG00000010307,1.357393002
ENSMUSG00000010358,1.030793251
ENSMUSG00000010825,1.354408938
ENSMUSG00000011114,0.691465891
ENSMUSG00000011148,0.833023171
ENSMUSG00000011257,-0.93512472
ENSMUSG00000011267,1.147052139
ENSMUSG00000011589,3.499654623
ENSMUSG00000011751,-0.818105838
ENSMUSG00000011837,0.539679569
ENSMUSG00000011960,-0.564709525
ENSMUSG00000012422,-0.703624727
ENSMUSG00000012428,1.74407729
ENSMUSG00000012519,1.021719683
ENSMUSG00000012640,-0.66673621
ENSMUSG00000013033,-0.737961292
ENSMUSG00000013236,0.894600708
ENSMUSG00000013367,1.418122398
ENSMUSG00000013584,1.203653406
ENSMUSG00000013629,-1.110083187
ENSMUSG00000013921,1.171236358
ENSMUSG00000014177,-0.571954436
ENSMUSG00000014243,0.658522517
ENSMUSG00000014313,-0.760101559
ENSMUSG00000014426,0.599611573
ENSMUSG00000014470,-0.550565836
ENSMUSG00000014748,-0.552212193
ENSMUSG00000014837,-0.593889965
ENSMUSG00000014859,-0.655156158
ENSMUSG00000014867,-0.601011493
ENSMUSG00000014905,-0.450261243
ENSMUSG00000015002,-0.416157724
ENSMUSG00000015016,0.534085106
ENSMUSG00000015083,0.882845286
ENSMUSG00000015085,0.83365164
ENSMUSG00000015087,-0.591273673
ENSMUSG00000015093,1.272590159
ENSMUSG00000015095,-0.451028834
ENSMUSG00000015112,1.490735149
ENSMUSG00000015134,1.88252198
ENSMUSG00000015143,0.439272504
ENSMUSG00000015202,0.718572522
ENSMUSG00000015243,0.719664745
ENSMUSG00000015314,1.79616511
ENSMUSG00000015335,0.62333021
ENSMUSG00000015363,-0.688775466
ENSMUSG00000015396,1.501904868
ENSMUSG00000015452,-1.302678769
ENSMUSG00000015461,-0.523277897
ENSMUSG00000015474,1.386167294
ENSMUSG00000015478,-0.533296377
ENSMUSG00000015488,-0.487778426
ENSMUSG00000015568,-1.239916757
ENSMUSG00000015599,1.618744431
ENSMUSG00000015652,0.922202696
ENSMUSG00000015709,0.672171583
ENSMUSG00000015711,0.653986624
ENSMUSG00000015745,0.746843767
ENSMUSG00000015749,-0.603626945
ENSMUSG00000015750,-0.620649783
ENSMUSG00000015776,-0.552166068
ENSMUSG00000015806,-0.442329942
ENSMUSG00000015829,-0.910521938
ENSMUSG00000015837,0.51152323
ENSMUSG00000015850,1.320319038
ENSMUSG00000015889,0.444925855
ENSMUSG00000015937,-0.580137031
ENSMUSG00000015944,-0.825652541
ENSMUSG00000015947,0.947749686
ENSMUSG00000015968,-0.640789489
ENSMUSG00000015971,0.501308915
ENSMUSG00000016028,-0.657922863
ENSMUSG00000016179,1.603668371
ENSMUSG00000016252,-0.619429677
ENSMUSG00000016256,0.950944144
ENSMUSG00000016349,1.691703467
ENSMUSG00000016356,-1.167215893
ENSMUSG00000016382,0.455673679
ENSMUSG00000016386,0.980520456
ENSMUSG00000016427,-0.621259937
ENSMUSG00000016481,0.387993189
ENSMUSG00000016487,0.849880449
ENSMUSG00000016496,1.581624061
ENSMUSG00000016510,0.618764205
ENSMUSG00000016831,0.459829297
ENSMUSG00000016921,-0.594803706
ENSMUSG00000016942,2.119224954
ENSMUSG00000017288,0.716433657
ENSMUSG00000017299,0.511111576
ENSMUSG00000017344,1.379082115
ENSMUSG00000017446,2.461643232
ENSMUSG00000017466,1.242050362
ENSMUSG00000017493,1.356174032
ENSMUSG00000017561,0.69154363
ENSMUSG00000017652,1.317192415
ENSMUSG00000017740,-0.708175452
ENSMUSG00000017760,0.616127729
ENSMUSG00000017765,1.345270086
ENSMUSG00000017830,2.071355157
ENSMUSG00000017837,0.436324763
ENSMUSG00000017943,0.46276626
ENSMUSG00000017978,-0.633290394
ENSMUSG00000017999,0.503713652
ENSMUSG00000018102,0.845996014
ENSMUSG00000018166,1.12102488
ENSMUSG00000018217,0.737800948
ENSMUSG00000018340,0.777502964
ENSMUSG00000018379,-0.437123577
ENSMUSG00000018387,1.822777539
ENSMUSG00000018395,0.470066043
ENSMUSG00000018411,0.443757836
ENSMUSG00000018417,0.416164308
ENSMUSG00000018425,0.663278647
ENSMUSG00000018451,2.202646729
ENSMUSG00000018500,1.993490835
ENSMUSG00000018507,2.684808501
ENSMUSG00000018509,-0.535203284
ENSMUSG00000018541,0.464719649
ENSMUSG00000018548,-0.908512085
ENSMUSG00000018574,0.764653849
ENSMUSG00000018648,0.73296136
ENSMUSG00000018659,0.632077156
ENSMUSG00000018672,-0.707793069
ENSMUSG00000018677,-0.621200983
ENSMUSG00000018697,0.704138763
ENSMUSG00000018761,0.586112829
ENSMUSG00000018774,0.823832952
ENSMUSG00000018819,1.813050704
ENSMUSG00000018821,0.914150771
ENSMUSG00000018822,-0.60696038
ENSMUSG00000018841,0.523303761
ENSMUSG00000018865,1.291970355
ENSMUSG00000018882,0.578786849
ENSMUSG00000018906,0.879652809
ENSMUSG00000018920,0.446526348
ENSMUSG00000018965,0.512187493
ENSMUSG00000018999,-0.487351614
ENSMUSG00000019055,0.594315895
ENSMUSG00000019066,-0.793919424
ENSMUSG00000019087,-0.44467501
ENSMUSG00000019088,1.357894318
ENSMUSG00000019132,-0.553522704
ENSMUSG00000019235,1.512751436
ENSMUSG00000019254,-0.435343551
ENSMUSG00000019312,0.737180746
ENSMUSG00000019429,-1.455930172
ENSMUSG00000019464,-0.421784584
ENSMUSG00000019470,0.532616278
ENSMUSG00000019487,1.282211105
ENSMUSG00000019528,0.426256893
ENSMUSG00000019699,-0.478693175
ENSMUSG00000019715,-0.422999604
ENSMUSG00000019731,-0.847273989
ENSMUSG00000019732,1.086406939
ENSMUSG00000019734,0.536863343
ENSMUSG00000019756,-0.931226488
ENSMUSG00000019796,-0.468967648
ENSMUSG00000019813,0.935825186
ENSMUSG00000019817,-0.621505321
ENSMUSG00000019823,1.652531665
ENSMUSG00000019838,-0.599941602
ENSMUSG00000019854,0.437579059
ENSMUSG00000019866,1.215666191
ENSMUSG00000019872,1.423052001
ENSMUSG00000019878,0.537041006
ENSMUSG00000019907,0.475841772
ENSMUSG00000019917,0.524667806
ENSMUSG00000019923,0.535073912
ENSMUSG00000019929,1.698263667
ENSMUSG00000019933,-1.383981699
ENSMUSG00000019944,-0.480216141
ENSMUSG00000019945,1.070470099
ENSMUSG00000019961,-0.45159048
ENSMUSG00000019975,0.600848042
ENSMUSG00000020003,-0.467208985
ENSMUSG00000020009,0.5521807
ENSMUSG00000020010,1.809334281
ENSMUSG00000020021,0.868029432
ENSMUSG00000020023,0.938871888
ENSMUSG00000020032,0.520312257
ENSMUSG00000020034,1.270945059
ENSMUSG00000020038,-0.782239148
ENSMUSG00000020042,2.258172582
ENSMUSG00000020053,1.527158308
ENSMUSG00000020057,1.504001684
ENSMUSG00000020069,-0.551905958
ENSMUSG00000020085,0.667232899
ENSMUSG00000020088,-0.529252635
ENSMUSG00000020100,1.162215437
ENSMUSG00000020101,0.909230731
ENSMUSG00000020107,-0.43798814
ENSMUSG00000020115,0.431744272
ENSMUSG00000020122,0.664238749
ENSMUSG00000020131,-0.7680308
ENSMUSG00000020135,1.695699909
ENSMUSG00000020142,-0.699953402
ENSMUSG00000020149,-0.459073021
ENSMUSG00000020150,2.197850453
ENSMUSG00000020151,0.590844432
ENSMUSG00000020160,-0.497047419
ENSMUSG00000020163,-0.763301805
ENSMUSG00000020178,1.325658452
ENSMUSG00000020181,-0.909620051
ENSMUSG00000020183,-0.586255409
ENSMUSG00000020190,0.533153904
ENSMUSG00000020212,-0.571185317
ENSMUSG00000020230,0.829529725
ENSMUSG00000020235,0.68841322
ENSMUSG00000020241,1.208809845
ENSMUSG00000020248,-0.468481135
ENSMUSG00000020253,1.259392188
ENSMUSG00000020256,-1.652674097
ENSMUSG00000020260,-1.098931091
ENSMUSG00000020262,-0.478720783
ENSMUSG00000020267,-0.515899335
ENSMUSG00000020272,1.323999422
ENSMUSG00000020280,0.509255107
ENSMUSG00000020282,0.850966364
ENSMUSG00000020305,1.240101556
ENSMUSG00000020308,0.587674466
ENSMUSG00000020312,-0.414622141
ENSMUSG00000020323,1.014596481
ENSMUSG00000020329,0.518923562
