Gene_ID,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
ENSMUSG00000102693,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0
ENSMUSG00000051951,102.94565,362.01175,310.81256,428.54007,387.4636,466.59595
ENSMUSG00000102851,0,0,0,0,0,0
ENSMUSG00000103377,2,2,0,6,0,2
ENSMUSG00000104017,4,0,2,0,2,0
ENSMUSG00000103025,0,2,0,0,2,6
ENSMUSG00000089699,0,0,0,0,0,0
ENSMUSG00000103201,4,10,2,3.6666667,8,10
ENSMUSG00000103147,0,0,2,0,2,4
ENSMUSG00000103161,151,219.66666,229,148.66666,206,129.95364
ENSMUSG00000102331,39.0596,26,44.816616,37.917522,47.998985,59.946667
ENSMUSG00000102348,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0
ENSMUSG00000102343,4,18,2,8,6,10
ENSMUSG00000102948,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,0,0,4
ENSMUSG00000104123,0,0,0,0,0,0
ENSMUSG00000025902,117,224.99306,249.0577,146.19998,237.9586,347.71268
ENSMUSG00000104238,2,1,2.5,0,0,1
ENSMUSG00000102269,0,2,0,5,8,4
ENSMUSG00000096126,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0
ENSMUSG00000104328,4,6,4,0,0,2
ENSMUSG00000102735,0,2,0,0,0,0
ENSMUSG00000098104,2.1324503,0,0,0,8,2
ENSMUSG00000102175,0,0,0,0,0,0
ENSMUSG00000088000,0,0,0,0.43046358,0,0
ENSMUSG00000103265,0,0,0,0,3.7010598,0
ENSMUSG00000103922,11,4,28,13,23,15
ENSMUSG00000033845,821.5301,854.58765,876.84534,1248.9565,1191.1599,1540.7009
ENSMUSG00000102275,8.599699,20.04031,12.426589,13,7.768962,6
ENSMUSG00000025903,1390.4762,1565.6917,1712.7872,1773.8259,1953.6841,1906.2896
ENSMUSG00000104217,443.29086,596.23236,643.1914,621.4148,630.3777,652.0321
ENSMUSG00000033813,4322.4478,4847.666,5140.473,4986.476,6029.0273,5605.8315
ENSMUSG00000062588,15,16,26,28,36,37
ENSMUSG00000103280,7.2715235,12.575475,19.887417,18,20.986668,20.652996
ENSMUSG00000002459,45.302536,31.059969,36.643776,61.18249,80.277275,99.928604
ENSMUSG00000091305,0,0,0,0,0,0
ENSMUSG00000102653,2,2,0,2,0,2
ENSMUSG00000085623,54.666664,126,132,85,78.66667,49
ENSMUSG00000091665,0,0,0,0,0,0
ENSMUSG00000033793,5091.407,4606.548,5247.1787,5382.7,6509.0493,6679.2725
ENSMUSG00000104352,0,0,0,0,0,0
ENSMUSG00000104046,857.99976,1133.0007,1168.5007,743.33325,946.833,837.5663
ENSMUSG00000102907,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,2
ENSMUSG00000103936,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,16,6,10
ENSMUSG00000103090,0,0,0,0,0,0
ENSMUSG00000025907,1968.1726,2668.1318,2889.4983,3754.297,4067.2075,4809.594
ENSMUSG00000090031,109.323,185.51009,133.84323,131.72232,104.96863,68.448715
ENSMUSG00000087247,0,0,0,0,0,0
ENSMUSG00000103355,0,0,0,5,0,0
ENSMUSG00000102706,0,0,0,0,0,0
ENSMUSG00000103845,8.715231,18,18,30,31,21
ENSMUSG00000033740,4615.855,7681.736,8500.18,6350.4966,8232.954,7736.6064
ENSMUSG00000103329,32.977657,71.51181,61.011612,33.71339,29.685543,28
ENSMUSG00000104385,0,0,0,2,0,0
ENSMUSG00000102135,17.9,17.8,17.92973,12.799996,15.999999,16.333332
ENSMUSG00000103282,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0
ENSMUSG00000051285,3517.0723,4673.481,4819.534,3980.5989,4651.329,3483.5134
ENSMUSG00000098201,0,4,0,0,0,0
ENSMUSG00000103509,23.092714,107.7947,96.85178,47.40667,42.24832,46.930817
ENSMUSG00000048538,113.00013,137.99997,142.66656,177.49966,183.66634,212.66624
