Gene_ID,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
ENSMUSG00000021573,14,16,14,84,58.5,60
ENSMUSG00000032735,52.055172,47.979458,84.251625,326.23944,226.55145,312.8765
ENSMUSG00000030287,1131.5214,1591.0603,1373.563,6285.246,3989.1094,4930.2495
ENSMUSG00000037999,56.81945,109.81459,135.73999,396.95523,288.65823,515.5742
ENSMUSG00000032724,73.97223,154.53174,176.69359,1123.8807,753.4698,1764.5182
ENSMUSG00000003420,44,60.715233,97.4702,185.82793,161.1846,164.01561
ENSMUSG00000017493,129.99998,280,340,734.92053,637.5,1083.3358
ENSMUSG00000054580,6,26.840002,30.45836,60.863964,67,63.8926
ENSMUSG00000027187,228.43297,366.31458,445.4922,1206.4987,906.8117,1872.7113
ENSMUSG00000028937,118.25225,110.00003,166.66579,207.01984,279.99988,340.093
ENSMUSG00000061353,72,194,199.99997,435.2455,269.93878,371.9933
ENSMUSG00000054920,89.394,116.515625,137.47684,232.55629,189.64558,160.29501
ENSMUSG00000004558,113.344124,70.17426,98.000046,179.47684,156,284.94702
ENSMUSG00000016194,20.5,20.860924,57.999996,84.016365,73.59563,74.00001
ENSMUSG00000039349,104,175.3336,132.98581,246.20529,235.867,414
ENSMUSG00000055435,26,126.1192,136.47986,290.25272,212.23068,184.49585
ENSMUSG00000020828,47.954548,82.469925,136.11613,197.71004,183.17535,354.38434
ENSMUSG00000020642,67.88732,123.99998,160.00002,293.7028,168.67812,333.61914
ENSMUSG00000020053,36,38,40,240.96494,83.63757,100.74717
ENSMUSG00000006356,342.6271,302.82965,485.3224,599.30206,556.74835,999.66516
ENSMUSG00000053110,78.647064,156.58315,218.92018,237.2681,301.1745,491.30798
ENSMUSG00000028464,79.99306,70.74835,105.88564,147.51195,86.393135,218.72852
ENSMUSG00000032554,58.597446,80.67554,190.50078,352.9126,328.28806,2097.1023
ENSMUSG00000032946,20,76.105965,60.62554,131.09225,86.145485,54.132458
ENSMUSG00000036103,74,124,156,224.86958,116,156
ENSMUSG00000055322,469.08423,926.8009,1268.5516,1055.6095,1078.1704,1400.8644
ENSMUSG00000027253,109.30832,187.39569,232.73517,205.99982,212.285,215.17062
ENSMUSG00000033174,127.28279,183.9702,245.94257,208.11227,190.20113,258.2814
ENSMUSG00000078234,10,44,51,14,30,72
ENSMUSG00000037709,49.379528,67.14315,89.46303,81.99995,76.60047,53.604473
